Person_ID,Person ID,AGE,GENDER,Date Reported Missing,Time Reported Missing,Date Last Seen,Location Last Seen,Post URL,Time_Obj,Age_Group,City_Cleaned,Barangay_Cleaned,District_Cleaned,Latitude,Longitude,Location_Match_Level,Location_Match_Score,Year,Hour_Missing
MP-0012,,41,Female,,5:00 PM,,"Malate (in front of placement agency, Quirino Ave., Malate)",https://www.gmanetwork.com/news/serbisyopubliko/missingpersons/777104/missing-persons-haj-muslimen-mantawil-saban-and-bai-monerah-rajamuda-pandalat-saban/story/,2025-12-11 17:00:00,Adult,Manila City,,Malate,14.5714,120.9904,district,0.95,,17.0
MP-0013,,51,Male,,5:00 PM,,"Malate (in front of placement agency, Quirino Ave., Malate)",https://www.gmanetwork.com/news/serbisyopubliko/missingpersons/777104/missing-persons-haj-muslimen-mantawil-saban-and-bai-monerah-rajamuda-pandalat-saban/story/,2025-12-11 17:00:00,Adult,Manila City,,Malate,14.5714,120.9904,district,0.95,,17.0
MP-0014,,31,Male,2021-03-06,9:30 PM,,"Tondo, Manila",https://www.facebook.com/share/p/1HDXQA1qvD/,2025-12-11 21:30:00,Adult,Manila City,,Tondo,14.6186,120.9681,district,0.95,2021.0,21.0
MP-0015,,13,Male,2020-03-11,1:02 PM,2019-12-15,"Tondo Church, Manila",https://www.facebook.com/groups/190060074445181/permalink/2726094260841737/,2025-12-11 13:02:00,Young Teen,Manila City,,Tondo,14.6186,120.9681,district,0.95,2020.0,13.0
MP-0016,,34,Male,2021-04-29,2:19 PM,,"Sampaloc, Manila",https://www.facebook.com/share/1GvCaRHway/,2025-12-11 14:19:00,Adult,Manila City,,Sampaloc,14.6133,121.0003,district,0.95,2021.0,14.0
MP-0017,,65,Female,2021-05-17,12:32 PM,,"Avenida, manila",https://www.facebook.com/share/p/1BQFFu1ejN/,2025-12-11 12:32:00,Old,Manila City,,Binondo,14.6006,120.9754,district,0.9,2021.0,12.0
MP-0018,,27,Male,2021-05-18,9:13 PM,,"Tondo, Manila",https://www.facebook.com/share/p/14RZFayikr5/,2025-12-11 21:13:00,Adult,Manila City,,Tondo,14.6186,120.9681,district,0.95,2021.0,21.0
MP-0019,,65,Male,2021-06-03,12:03,2021-06-02,"1545 3rd st. Fabie Subd Paco, Mla. Brgy 808 Zone 88",https://www.facebook.com/share/p/1AA3Mx7aqg/,2025-12-11 12:03:00,Old,Manila City,,Paco,14.5833,120.9961,district,0.95,2021.0,12.0
MP-0020,,75,Male,2021-09-21,4:10 PM,,"Binondo, Manila",https://www.facebook.com/share/p/17fwddGJbF/,2025-12-11 16:10:00,Old,Manila City,,Binondo,14.6006,120.9754,district,0.95,2021.0,16.0
MP-0021,,42,Male,2021-09-28,5:54 PM,,"Binondo, Manila",https://www.facebook.com/share/p/1BCqyq9hW9/,2025-12-11 17:54:00,Adult,Manila City,,Binondo,14.6006,120.9754,district,0.95,2021.0,17.0
MP-0022,,56,Female,2021-10-06,3:07 PM,2021-10-03,"Santa Ana, Manila",https://www.facebook.com/share/p/1Fj5Wk5F8g/,2025-12-11 15:07:00,Adult,Manila City,,Santa Ana,14.5802,121.0116,district,0.95,2021.0,15.0
MP-0023,,60,Male,2021-10-08,2:08 PM,,"Sampaloc, Manila",https://www.facebook.com/share/p/17Z61Yg4sZ/,2025-12-11 14:08:00,Old,Manila City,,Sampaloc,14.6133,121.0003,district,0.95,2021.0,14.0
MP-0024,,16,Female,2021-10-09,7:13 PM,,"Tondo, Manila",https://www.facebook.com/share/p/17Sp1FCPjo/,2025-12-11 19:13:00,Teen,Manila City,,Tondo,14.6186,120.9681,district,0.95,2021.0,19.0
MP-0025,,13,Male,2021-11-08,8:04 PM,,"Quiapo, Manila",https://www.facebook.com/share/p/1HjPeadtXJ/,2025-12-11 20:04:00,Young Teen,Manila City,,Quiapo,14.5998,120.9844,district,0.95,2021.0,20.0
MP-0026,,82,Male,,11:23 PM,,"Sampaloc, Manila",https://www.facebook.com/share/p/1AHbgqgS9k/,2025-12-11 23:23:00,Old,Manila City,,Sampaloc,14.6133,121.0003,district,0.95,,23.0
MP-0027,,21,Female,2021-11-11,7:38 PM,,"Tondo, Manila",https://www.facebook.com/share/p/1AL4VEqnBX/,2025-12-11 19:38:00,Young Adult,Manila City,,Tondo,14.6186,120.9681,district,0.95,2021.0,19.0
MP-0028,,20,Female,2021-12-04,7:26 PM,,"Quiapo, Manila",https://www.facebook.com/share/p/17X6qaoEp2/,2025-12-11 19:26:00,Young Adult,Manila City,,Quiapo,14.5998,120.9844,district,0.95,2021.0,19.0
MP-0029,,16,Male,2021-12-11,5:52 PM,,"Ermita, Manila",https://www.facebook.com/groups/964888686883029/posts/4732989473406246/,2025-12-11 17:52:00,Teen,Manila City,,Ermita,14.5826,120.9843,district,0.95,2021.0,17.0
MP-0030,,24,Male,2021-12-24,2:43 PM,2021-12-23,Manila,https://www.facebook.com/share/p/1KJzHtaYn4/,2025-12-11 14:43:00,Young Adult,Manila City,,Binondo,14.6006,120.9754,district,0.9,2021.0,14.0
MP-0031,,17,Female,,19:20,2022-05-01,Mabini direction / Quiapo area (Manila).,https://www.gmanetwork.com/news/serbisyopubliko/missingpersons/831912/missing-person-reglyn-beronas/story/,2025-12-11 19:20:00,Teen,Manila City,,Quiapo,14.5998,120.9844,district,0.95,,19.0
MP-0032,,20,Male,,12:13 AM,,Manila Arena,https://www.facebook.com/photo.php?fbid=103624085556166&set=a.103624235556151&type=3,2025-12-11 00:13:00,Young Adult,Manila City,,Malate,14.562222,120.993889,barangay,1.0,,0.0
MP-0033,,22,Female,2022-02-13,8:19 PM,2022-02-09,Tondo Manila,https://www.facebook.com/share/p/1AReokkcnK/,2025-12-11 20:19:00,Young Adult,Manila City,,Tondo,14.6186,120.9681,district,0.95,2022.0,20.0
MP-0034,,24,Male,,12:13 AM,,Manila Arena,https://www.facebook.com/share/1Bh6rzz2Ki/,2025-12-11 00:13:00,Young Adult,Manila City,,Malate,14.562222,120.993889,barangay,1.0,,0.0
MP-0035,,27,Male,2023-09-26,7:03 PM,2023-09-03,Malate Manila,https://www.facebook.com/share/p/1FS2wyC7Dx/,2025-12-11 19:03:00,Adult,Manila City,,Malate,14.5714,120.9904,district,0.95,2023.0,19.0
MP-0036,,27,Male,,14:11,2023-03-09,Brgy #709 Malate Manila,https://www.facebook.com/share/p/1BrcksQkvx/,2025-12-11 14:11:00,Adult,Manila City,,Malate,14.5714,120.9904,district,0.95,,14.0
MP-0037,,29,Male,2022-07-03,2:55 PM,2022-06-27,2495 araullo st sta ana manila,https://www.facebook.com/share/p/1AFEXggeK8/,2025-12-11 14:55:00,Adult,Manila City,,Santa Ana,14.5802,121.0116,district,0.95,2022.0,14.0
MP-0038,,31,Male,2023-11-23,7:00 AM,2023-11-19,SM Manila,https://www.facebook.com/groups/190060074445181/permalink/6812371262213996/,2025-12-11 07:00:00,Adult,Manila City,Barangay 287,Binondo,14.6006,120.9754,barangay,0.737,2023.0,7.0
MP-0039,,32,Male,,12:13 AM,,Manila Arena,https://www.facebook.com/share/17XCoxv1s3/,2025-12-11 00:13:00,Adult,Manila City,,Malate,14.562222,120.993889,barangay,1.0,,0.0
MP-0040,,34,Male,,12:13 AM,,Manila Arena,https://www.facebook.com/photo.php?fbid=103624072222834&set=a.103624235556151&type=3,2025-12-11 00:13:00,Adult,Manila City,,Malate,14.562222,120.993889,barangay,1.0,,0.0
MP-0041,,34,Male,,12:13 AM,,Manila Arena,https://www.facebook.com/share/174qL4wEEN/,2025-12-11 00:13:00,Adult,Manila City,,Malate,14.562222,120.993889,barangay,1.0,,0.0
MP-0042,,40,Male,,12:13 AM,,Manila Arena,https://www.facebook.com/share/1AFLGNAeWJ/,2025-12-11 00:13:00,Adult,Manila City,,Malate,14.562222,120.993889,barangay,1.0,,0.0
MP-0043,,42,Male,2023-07-04,9:37 PM,2023-06-26,Tondo Manila,https://www.facebook.com/share/p/14THDnkxYRY/,2025-12-11 21:37:00,Adult,Manila City,,Tondo,14.6186,120.9681,district,0.95,2023.0,21.0
MP-0044,,52,Female,2022-06-06,2:00,,Malate Manila,https://www.facebook.com/share/p/1AFC9M3xjH/,2025-12-11 02:00:00,Adult,Manila City,,Malate,14.5714,120.9904,district,0.95,2022.0,2.0
MP-0045,,63,Female,2023-05-05,6:18 AM,,1629 KALIMBAS STREET SANTA CRUZ MANILA,,2025-12-11 06:18:00,Old,Manila City,,Santa Cruz,14.615,120.983,district,0.95,2023.0,6.0
MP-0046,,72,Male,2023-11-28,,2023-11-24,Sampaloc Manila,https://www.facebook.com/share/p/1DQNWqogc7/,,Old,Manila City,,Sampaloc,14.6133,121.0003,district,0.95,2023.0,
MP-0047,,5,Female,2024-03-01,5:01,,Brgy 182 zone 16 Gagalangin Tondo Manila,https://www.facebook.com/share/p/17avRaMcCD/,2025-12-11 05:01:00,Child,Manila City,,Tondo,14.6186,120.9681,district,0.95,2024.0,5.0
MP-0048,,6,Male,2024-04-27,1:02,2024-04-26,"Sampaloc, Manila",https://www.facebook.com/share/p/17PG1RwWqm/,2025-12-11 01:02:00,Child,Manila City,,Sampaloc,14.6133,121.0003,district,0.95,2024.0,1.0
MP-0049,,12,Male,2024-03-25,10:05,2024-03-20,"1864 Estrada Ext., Sta. Ana, Manilaa",https://www.facebook.com/share/p/1AVtCT4kGC/,2025-12-11 10:05:00,Child,Manila City,,Santa Ana,14.5802,121.0116,district,0.95,2024.0,10.0
MP-0050,,14,Female,2024-11-27,14:24,,"1002 Muralla St, Intramuros, Manila, 1002 Metro Manila",https://www.facebook.com/share/p/1Bg24S7Wds/,2025-12-11 14:24:00,Young Teen,Manila City,,Intramuros,14.5904,120.977,district,0.95,2024.0,14.0
MP-0051,,16,Female,2024-08-02,10:46,2024-07-29,"Araullo High School, United Nations Ave, Ermita, Manila, 1000 Metro Manila",https://www.facebook.com/share/p/1Bkk63padd/,2025-12-11 10:46:00,Teen,Manila City,,Ermita,14.5826,120.9843,district,0.95,2024.0,10.0
MP-0052,,16,Male,2024-08-10,9:56,2024-05-08,"Brgy. 172, Gagalangin, Tondo, Manila",https://www.facebook.com/share/1ExE1Mz86Z/,2025-12-11 09:56:00,Teen,Manila City,,Tondo,14.6186,120.9681,district,0.95,2024.0,9.0
MP-0053,,17,Female,2024-11-22,22:30,2024-11-19,NU Nazareth Sampaloc Manila,https://www.facebook.com/share/p/1CfuoHWRnb/,2025-12-11 22:30:00,Teen,Manila City,,Sampaloc,14.6133,121.0003,district,0.95,2024.0,22.0
MP-0054,,23,Female,2024-04-19,8:40,2024-04-16,"1590 St. Jimenez, San Andres Bukid, Manila.",https://www.facebook.com/share/p/1B2xd8qov9/,2025-12-11 08:40:00,Young Adult,Manila City,,San Andres,14.5746,121.0039,district,0.95,2024.0,8.0
MP-0055,,23,Female,2025-02-21,10:14,2025-02-14,barangay 1508 Lope De Vega st. Santa Cruz manila,https://www.facebook.com/share/p/16oMZf4nio/,2025-12-11 10:14:00,Young Adult,Manila City,,Santa Cruz,14.615,120.983,district,0.95,2025.0,10.0
MP-0056,,27,Female,2024-03-20,14:52,2025-03-17,417 Coral st. Tondo Manila,https://www.facebook.com/share/p/1D9Kh64zRZ/,2025-12-11 14:52:00,Adult,Manila City,,Tondo,14.6186,120.9681,district,0.95,2024.0,14.0
MP-0057,,28,Male,2024-10-12,22:24,,"Quirino Ave, San Andres Bukid, Santa Ana, Manila",https://www.facebook.com/share/p/1A8ik5TSjE/,2025-12-11 22:24:00,Adult,Manila City,,San Andres,14.5746,121.0039,district,0.95,2024.0,22.0
MP-0058,,29,Female,2024-05-11,9:14,2024-05-02,"Intramuros, Manila City",https://www.facebook.com/share/p/1CKgPzoKWQ/,2025-12-11 09:14:00,Adult,Manila City,,Intramuros,14.5904,120.977,district,0.95,2024.0,9.0
MP-0059,,33,Male,2024-03-03,22:29,2024-02-28,"831 Asuncion st Binondo Manila, Barangay 270",https://www.facebook.com/share/p/17iVKRWn7d/,2025-12-11 22:29:00,Adult,Manila City,,Binondo,14.6006,120.9754,district,0.95,2024.0,22.0
MP-0060,,35,Male,2024-06-20,22:25,2024-03-06,"Leon Guinto St., Malate, Manila",https://www.facebook.com/share/1BRRNgh2U1/,2025-12-11 22:25:00,Adult,Manila City,,Malate,14.5714,120.9904,district,0.95,2024.0,22.0
MP-0061,,39,Male,2024-06-13,14:03,,New Antipolo tondo manila,https://www.facebook.com/share/p/1ATzhZkC93/,2025-12-11 14:03:00,Adult,Manila City,,Tondo,14.6186,120.9681,district,0.95,2024.0,14.0
MP-0062,,47,Female,2024-11-22,13:40,2024-11-01,"Andrés, A. Bonifacio Ave, Santa Cruz, Manila, 1014 Metro Manila",https://www.facebook.com/share/p/1C9S1pNovz/,2025-12-11 13:40:00,Adult,Manila City,,Santa Cruz,14.615,120.983,district,0.95,2024.0,13.0
MP-0063,,48,Female,2024-05-11,9:14,,"Intramuros, Manila",https://www.facebook.com/share/p/1CyQFKrfky/,2025-12-11 09:14:00,Adult,Manila City,,Intramuros,14.5904,120.977,district,0.95,2024.0,9.0
MP-0064,,49,Male,2024-12-19,8:38,2024-12-16,"1641 Diamante St., Brgy. 797, Zone 87. Manila",https://www.facebook.com/share/p/17UxG62rvh/,2025-12-11 08:38:00,Adult,Manila City,Barangay 641,San Miguel,14.5966,121.0008,barangay,1.0,2024.0,8.0
MP-0065,,50,Female,2024-12-09,13:23,,"401/A Int. 27 Perla St., Tondo, Manila",https://www.facebook.com/groups/190060074445181/permalink/8794206077363828/,2025-12-11 13:23:00,Adult,Manila City,,Tondo,14.6186,120.9681,district,0.95,2024.0,13.0
MP-0066,,51,Female,2024-06-14,14:25,2024-05-30,"PIER SOUTH 15, 12 STREET  PORT AREA MANILA ",https://www.facebook.com/share/p/1Bx2tu22EG/,2025-12-11 14:25:00,Adult,Manila City,,Port Area,14.588,120.963,district,0.95,2024.0,14.0
MP-0067,,54,Female,2024-09-15,10:17,2024-08-29,"Brgy. 593, Zone 58, District VI, Sta.Mesa, Manila",https://www.facebook.com/share/p/1DTFXVvJZx/,2025-12-11 10:17:00,Adult,Manila City,,Binondo,14.6006,120.9754,district,0.9,2024.0,10.0
MP-0068,,64,Female,2024-08-26,15:47,,70 A concha st. Tondo manila ,https://www.facebook.com/share/p/1Mw7ECceT6/,2025-12-11 15:47:00,Old,Manila City,,Tondo,14.6186,120.9681,district,0.95,2024.0,15.0
MP-0069,,64,Male,2024-06-17,1:12,2024-06-16,"Barangay 334, Zone 33, Alvarez St, Santa Cruz, Manila, 1003 Metro Manila",https://www.facebook.com/share/p/17Xn3KYERx/,2025-12-11 01:12:00,Old,Manila City,,Santa Cruz,14.615,120.983,district,0.95,2024.0,1.0
MP-0070,,65,Male,2024-12-27,23:42,,"Tondo, Manila",https://www.facebook.com/share/p/14TVwXQhj5R/,2025-12-11 23:42:00,Old,Manila City,,Tondo,14.6186,120.9681,district,0.95,2024.0,23.0
MP-0071,,70,Male,2024-07-05,18:30,2024-03-07,"Tejeron St., Sta. Ana, Manila",https://www.facebook.com/share/p/17jtWVYxZB/,2025-12-11 18:30:00,Old,Manila City,,Santa Ana,14.5802,121.0116,district,0.95,2024.0,18.0
MP-0072,,72,Female,2024-11-17,12:25,,brgy 118 zone 9 tondo manila,https://www.facebook.com/share/p/17kt4mFp9y/,2025-12-11 12:25:00,Old,Manila City,,Tondo,14.6186,120.9681,district,0.95,2024.0,12.0
MP-0073,,76,Female,2024-01-22,14:00,,"fabie estate, Sta ana Manila",https://www.facebook.com/share/p/1BpHwZoKav/,2025-12-11 14:00:00,Old,Manila City,,Santa Ana,14.5802,121.0116,district,0.95,2024.0,14.0
MP-0074,,77,Male,2024-09-01,9:30,,"Old Santa Mesa, Manila",https://www.facebook.com/share/p/17ntrz7DkU/,2025-12-11 09:30:00,Old,Manila City,,Santa Mesa,14.603,121.018,district,0.95,2024.0,9.0
MP-0075,,adult,Female,2024-09-02,9:24,2024-08-27,"Bambang LRT Station, Santa Cruz, Manila, Metro Manila",https://www.facebook.com/share/p/1Gfu7BphkT/,2025-12-11 09:24:00,Adult,Manila City,,Santa Cruz,14.615,120.983,district,0.95,2024.0,9.0
MP-0076,,adult,Female,2024-11-04,11:22,2024-11-03,"Santa Cruz, Manila, Metro Manila",https://www.facebook.com/share/p/1W8ZX81vAU/,2025-12-11 11:22:00,Adult,Manila City,,Santa Cruz,14.615,120.983,district,0.95,2024.0,11.0
MP-0077,,adult,Male,2024-01-20,18:29,,"Andrés, A. Bonifacio Ave, Santa Cruz, Manila, 1014 Metro Manila",https://www.facebook.com/share/p/1GAaiNSNN8/,2025-12-11 18:29:00,Adult,Manila City,,Santa Cruz,14.615,120.983,district,0.95,2024.0,18.0
MP-0078,,adult,Male,2024-04-29,0:50,,"1817 España Blvd, Sampaloc, Manila, 1008 Metro Manila",https://www.facebook.com/share/p/1HAJu1uar9/,2025-12-11 00:50:00,Adult,Manila City,,Sampaloc,14.6133,121.0003,district,0.95,2024.0,0.0
MP-0079,,young adult,Female,2024-07-23,1:07,,"1182 Meding St., Malate, manila",https://www.facebook.com/share/19jvJCjHK9/,2025-12-11 01:07:00,Young Adult,Manila City,,Malate,14.5714,120.9904,district,0.95,2024.0,1.0
MP-0080,,adult,Female,2025-02-04,12:28,2025-01-27,QUIAPO MANILA,https://www.facebook.com/share/p/1Ab2vdD3U6/,2025-12-11 12:28:00,Adult,Manila City,,Quiapo,14.5998,120.9844,district,0.95,2025.0,12.0
MP-0081,,9,Female,2025-02-11,5:03,2025-10-02,MAHARLIKA ST. TONDO MANILA,https://www.facebook.com/share/p/1AFjEbbpi4/,2025-12-11 05:03:00,Child,Manila City,,Tondo,14.6186,120.9681,district,0.95,2025.0,5.0
MP-0082,,34,Male,2025-04-12,10:52,,"1139 Int. 1 New Antipolo St. Tondo, Manila",https://www.facebook.com/groups/190060074445181/permalink/9533708913413537/,2025-12-11 10:52:00,Adult,Manila City,,Tondo,14.6186,120.9681,district,0.95,2025.0,10.0
MP-0083,,4,Male,2025-04-14,19:52,2025-04-14,644 L.CHACON ST.TONDO MANILA,https://www.facebook.com/share/p/17S4h2gMH9/,2025-12-11 19:52:00,Child,Manila City,,Tondo,14.6186,120.9681,district,0.95,2025.0,19.0
MP-0084,,13,Male,2025-04-27,18:14,,"Slip-0, PPA Compound, Pier 2, Tondo, Manila.",https://www.facebook.com/share/p/1Q15ZGRwcg/,2025-12-11 18:14:00,Young Teen,Manila City,,Tondo,14.6186,120.9681,district,0.95,2025.0,18.0
MP-0085,,5,Male,2025-05-01,19:51,,"832 Luzon St., Tondo, Manila",https://www.facebook.com/share/p/1GCq8sKiB2/,2025-12-11 19:51:00,Child,Manila City,,Tondo,14.6186,120.9681,district,0.95,2025.0,19.0
MP-0086,,17,Male,2025-05-01,19:51,,"832 Luzon St., Tondo, Manila",https://www.facebook.com/share/p/1GCq8sKiB2/,2025-12-11 19:51:00,Teen,Manila City,,Tondo,14.6186,120.9681,district,0.95,2025.0,19.0
MP-0087,,8,Female,2025-05-02,17:40,2025-04-25,"Port Area, Manila",https://www.facebook.com/groups/190060074445181/permalink/9679359338848493/,2025-12-11 17:40:00,Child,Manila City,,Port Area,14.588,120.963,district,0.95,2025.0,17.0
MP-0088,,20,Female,2025-05-03,10:37,2025-04-30,"1335 Vicente Cruz St., Brgy.486, Sampaloc, Manila",https://www.facebook.com/share/p/1GN6F2tfeT/,2025-12-11 10:37:00,Young Adult,Manila City,,Sampaloc,14.6133,121.0003,district,0.95,2025.0,10.0
MP-0089,,13,Male,2025-05-17,9:17,2025-05-15,building 18 unit 36 temporary housing aroma tondo barangay 105,https://www.facebook.com/share/p/17JQgoFFtB/,2025-12-11 09:17:00,Young Teen,Manila City,,Tondo,14.6186,120.9681,district,0.95,2025.0,9.0
MP-0090,,7,Male,2025-05-20,15:56,2025-04-29,San Andres Bukid Manila,https://www.facebook.com/share/p/1H3MYcpYaC/,2025-12-11 15:56:00,Child,Manila City,,San Andres,14.5746,121.0039,district,0.95,2025.0,15.0
MP-0091,,85,Female,2025-05-23,23:26,2025-05-16,"3422 G Santiago St., R. Papa, Brgy. 189 Tondo Manila",https://www.facebook.com/share/p/1MEWAZztpM/,2025-12-11 23:26:00,Old,Manila City,,Tondo,14.6186,120.9681,district,0.95,2025.0,23.0
MP-0092,,13,Male,2025-06-08,19:00,,"1823 Pres Quirino Avenua, Pandacan, Manila",https://www.facebook.com/share/p/1KjSpvmfwt/,2025-12-11 19:00:00,Young Teen,Manila City,,Pandacan,14.5885,121.0069,district,0.95,2025.0,19.0
MP-0093,,72,Female,2025-07-08,20:00,,2350 chromium st. San andres bukid metro manila,https://www.facebook.com/share/p/17jWFJxWnT/,2025-12-11 20:00:00,Old,Manila City,,San Andres,14.5746,121.0039,district,0.95,2025.0,20.0
MP-0094,,teen,Male,2025-07-17,14:51,,"Intramuros, Manila",https://www.facebook.com/share/p/16j1sWc55E/,2025-12-11 14:51:00,Teen,Manila City,,Intramuros,14.5904,120.977,district,0.95,2025.0,14.0
MP-0095,,18,Male,2025-07-24,15:09,,"773 Sevilla St., Binondo, Manila",https://www.facebook.com/share/p/17qybtzyVy/,2025-12-11 15:09:00,Young Adult,Manila City,,Binondo,14.6006,120.9754,district,0.95,2025.0,15.0
MP-0096,,senior,Female,2025-07-28,19:32,2025-07-16,"Balut, Tondo, Manila",https://www.facebook.com/share/p/17XEKFR5sF/,2025-12-11 19:32:00,Old,Manila City,,Tondo,14.6186,120.9681,district,0.95,2025.0,19.0
MP-0097,,26,Male,2025-07-31,18:55,2025-07-30,"Tiger Gasoline Station, 1748, 1008 Maceda St, Sampaloc, Manila, Metro Manila",https://www.facebook.com/share/p/1RtJy4JA6f/,2025-12-11 18:55:00,Adult,Manila City,,Sampaloc,14.6133,121.0003,district,0.95,2025.0,18.0
MP-0098,,13,Female,2025-08-02,6:00,2025-07-29,"Fernando Maria Guererro Elementary School, 1804 Pedro Gil Street, Barangay 812, Paco, Manila",https://www.facebook.com/share/p/17VqDT8o7M/,2025-12-11 06:00:00,Young Teen,Manila City,,Paco,14.5833,120.9961,district,0.95,2025.0,6.0
MP-0099,,31,Male,2025-08-14,18:30,2025-08-08,"Dorotero Street, Oroquieta Road, Santa Cruz, Manila",https://www.facebook.com/share/p/1BkKk2JBx2/,2025-12-11 18:30:00,Adult,Manila City,,Santa Cruz,14.615,120.983,district,0.95,2025.0,18.0
MP-0100,,adult,Male,2025-08-17,14:02,2025-08-12,"Santa Cruz, Manila, Metro Manila",https://www.facebook.com/groups/190060074445181/permalink/24303539799337205/,2025-12-11 14:02:00,Adult,Manila City,,Santa Cruz,14.615,120.983,district,0.95,2025.0,14.0
MP-0101,,13,Male,2025-09-03,13:34,2025-08-21,Building 18 unit 36 temporary housing aroma tondo barangay 105,https://www.facebook.com/share/p/17edsPrfdM/,2025-12-11 13:34:00,Young Teen,Manila City,,Tondo,14.6186,120.9681,district,0.95,2025.0,13.0
MP-0102,,72,Male,2025-09-10,7:54,,"1208 E. Quiricada St., Sta. Cruz, Manila.",https://www.facebook.com/groups/1295139581345256/permalink/1840148356844373/,2025-12-11 07:54:00,Old,Manila City,,Santa Cruz,14.615,120.983,district,0.95,2025.0,7.0
MP-0103,,14,Female,2025-09-16,,,"Brgy 704 Zone 77, Malate, Manila",https://www.facebook.com/share/p/1A1147Qidw/,,Young Teen,Manila City,,Malate,14.5714,120.9904,district,0.95,2025.0,
MP-0104,,49,Male,2025-09-20,20:16,2025-09-19,"Barangay 118 (Along Tondo High School vicinity), Tondo, Manila.",https://www.facebook.com/share/p/1AnEnVQzip/,2025-12-11 20:16:00,Adult,Manila City,,Tondo,14.6186,120.9681,district,0.95,2025.0,20.0
MP-0105,,68,Female,2025-09-24,5:35,,"Paco, Manila",https://www.facebook.com/share/p/17NgRrwi6G/,2025-12-11 05:35:00,Old,Manila City,,Paco,14.5833,120.9961,district,0.95,2025.0,5.0
MP-0106,,26,Male,2025-09-27,,,"Road 15, Fabie Estate, Sta. Ana, Manila",https://www.facebook.com/share/p/17fAFPCpev/,,Adult,Manila City,,Santa Ana,14.5802,121.0116,district,0.95,2025.0,
MP-0107,,43,Female,2025-10-01,17:24,,"Tondo, Manila",https://www.facebook.com/share/p/17Zk7cuyxh/,2025-12-11 17:24:00,Adult,Manila City,,Tondo,14.6186,120.9681,district,0.95,2025.0,17.0
MP-0108,,4,Male,2025-10-08,12:53,,"Dakma Street, Santa Mesa, Manila.",https://www.facebook.com/groups/190060074445181/permalink/24769137526110761/,2025-12-11 12:53:00,Child,Manila City,,Santa Mesa,14.603,121.018,district,0.95,2025.0,12.0
MP-0109,,adult older,Male,2025-10-09,10:00,,"J. Abad Santos Avenue, Hermosa Street, Tondo, Manila,",https://www.facebook.com/share/p/17jJqcUEcG/,2025-12-11 10:00:00,Old,Manila City,,Tondo,14.6186,120.9681,district,0.95,2025.0,10.0
